gwcode,years,missing_values_in
433,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
434,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
435,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
436,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
437,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
438,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
439,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
450,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
451,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
452,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
461,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
471,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
475,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
481,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
482,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
483,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
484,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
490,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
500,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
501,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
510,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
516,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
517,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
520,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
522,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
530,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
531,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
540,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
541,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
551,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
552,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
553,2018,"pt_attempt_lead2, pt_coup_lead2, pt_failed_lead2"
