variable,value,outcome
vdem_v2x_suffr_sd,5.9418680820079095e-6,failed
vdem_v2x_ex_direlect_sd,5.4382002616627794e-6,failed
vdem_v2x_ex_confidence_sd,5.424920890750196e-6,failed
reign_irreg_lead_ant,5.333032400746517e-6,failed
reign_leg_ant,5.274244357184517e-6,failed
reign_exec_ant,5.143478161303031e-6,failed
reign_gov_party,4.9553194524043605e-6,failed
vdem_v2x_ex_party_d1,4.414884641187095e-6,failed
reign_militarycareer,4.244773668409056e-6,failed
vdem_v2x_elecoff_d1,4.1996283484468475e-6,failed
vdem_v2x_elecreg_sd,3.8776103675569665e-6,failed
vdem_v2x_ex_confidence_d1,3.8390719729948484e-6,failed
vdem_v2x_elecreg,3.727649505285045e-6,failed
reign_anticipation,3.6503236539761044e-6,failed
vdem_v2x_genpp_d1,3.6430529068180635e-6,failed
vdem_v2x_ex_direlect_d1,3.473582025721235e-6,failed
reign_prev_conflict,3.3093737078916877e-6,failed
reign_ref_recent,3.223319439888969e-6,failed
reign_gov_personal,3.1107300642435833e-6,failed
reign_elected,2.674182003847763e-6,failed
oil_price_real,2.6247141610025556e-6,failed
reign_leg_recent,2.1438128959712054e-6,failed
vdem_v2x_legabort_sd,2.0879778354041685e-6,failed
epr_inpower_groups_pop_diff,1.7268432474876949e-6,failed
vdem_v2x_elecreg_d1,1.4646209511941554e-6,failed
reign_ref_ant,1.3187824018335446e-6,failed
vdem_v2x_ex_hereditary_sd,1.1793236174135724e-6,failed
vdem_v2x_ex_hereditary_d1,1.159236997586274e-6,failed
reign_direct_recent,1.0594658100589256e-6,failed
vdem_v2x_hosabort_sd,1.0047981152696067e-6,failed
reign_victory_recent,8.289440835013105e-7,failed
reign_indirect_recent,7.595732838185469e-7,failed
epr_inpower_groups_count_diff,7.286272307053951e-7,failed
epr_excluded_groups_count_diff,5.36863384266046e-7,failed
epr_excluded_groups_pop_diff,5.292580706592121e-7,failed
epr_excluded_groups_shift,4.783355723172493e-7,failed
wdi_infmort_imputed,4.027604759435866e-7,failed
vdem_v2x_legabort_d1,3.7794581201000306e-7,failed
reign_election_recent,2.9036480157211126e-7,failed
reign_lead_recent,2.3526845675468836e-7,failed
vdem_v2x_hosinter,1.6345216115067403e-7,failed
reign_nochange_recent,1.569334723689487e-7,failed
vdem_v2x_gender_imputed,2.4993064575650637e-8,failed
epr_regaut_group_pop,0,failed
epr_regaut_groups_count,0,failed
reign_election_now,0,failed
vdem_v2x_EDcomp_thick_imputed,0,failed
vdem_v2x_accountability_imputed,0,failed
vdem_v2x_api_imputed,0,failed
vdem_v2x_civlib_imputed,0,failed
vdem_v2x_clphy_imputed,0,failed
vdem_v2x_clpol_imputed,0,failed
vdem_v2x_clpriv_imputed,0,failed
vdem_v2x_corr_imputed,0,failed
vdem_v2x_cspart_imputed,0,failed
vdem_v2x_delibdem_imputed,0,failed
vdem_v2x_diagacc_imputed,0,failed
vdem_v2x_egal_imputed,0,failed
vdem_v2x_egaldem_imputed,0,failed
vdem_v2x_elecoff_imputed,0,failed
vdem_v2x_elecreg_imputed,0,failed
vdem_v2x_ex_confidence_imputed,0,failed
vdem_v2x_ex_direlect_imputed,0,failed
vdem_v2x_ex_hereditary_imputed,0,failed
vdem_v2x_ex_military_imputed,0,failed
vdem_v2x_ex_party_imputed,0,failed
vdem_v2x_execorr_imputed,0,failed
vdem_v2x_feduni_imputed,0,failed
vdem_v2x_frassoc_thick_imputed,0,failed
vdem_v2x_freexp_altinf_imputed,0,failed
vdem_v2x_freexp_imputed,0,failed
vdem_v2x_gencl_imputed,0,failed
vdem_v2x_gencs_imputed,0,failed
vdem_v2x_horacc_imputed,0,failed
vdem_v2x_hosabort_imputed,0,failed
vdem_v2x_hosinter_imputed,0,failed
vdem_v2x_jucon_imputed,0,failed
vdem_v2x_legabort_imputed,0,failed
vdem_v2x_libdem_imputed,0,failed
vdem_v2x_liberal_imputed,0,failed
vdem_v2x_mpi_imputed,0,failed
vdem_v2x_neopat_imputed,0,failed
vdem_v2x_partip_imputed,0,failed
vdem_v2x_partipdem_imputed,0,failed
vdem_v2x_polyarchy_imputed,0,failed
vdem_v2x_pubcorr_imputed,0,failed
vdem_v2x_rule_imputed,0,failed
vdem_v2x_suffr_imputed,0,failed
vdem_v2x_veracc_imputed,0,failed
epr_inpower_groups_shift,-1.9866858355235433e-9,failed
reign_exec_recent,-5.9273953881998646e-8,failed
vdem_v2x_genpp_imputed,-1.4782022277110771e-7,failed
vdem_v2x_legabort,-1.5034583069384395e-7,failed
reign_delayed,-3.8900975467654583e-7,failed
vdem_v2x_hosabort,-5.348545190420291e-7,failed
vdem_v2x_divparctrl_imputed,-7.70939229797586e-7,failed
vdem_v2x_hosabort_d1,-1.0210871951393084e-6,failed
vdem_v2x_suffr_d1,-3.7396395485984496e-6,failed
