variable,value,outcome
vdem_v2x_cspart,0.00663238497351951,failed
vdem_v2x_clpol,0.006491363651986071,failed
vdem_v2x_clpriv,0.00643989988325726,failed
vdem_v2x_pubcorr,0.006398545992079909,failed
vdem_v2x_libdem,0.0063932339232822535,failed
vdem_v2x_EDcomp_thick,0.006350260671930118,failed
vdem_v2x_civlib,0.006328995236095146,failed
vdem_v2x_partip,0.006197534728742969,failed
vdem_year,0.0057760348400836695,failed
vdem_v2x_polyarchy,0.005715157276375517,failed
vdem_v2x_api,0.005482876451634033,failed
vdem_v2x_mpi,0.005446909668253462,failed
vdem_v2x_egal,0.005445147092733327,failed
vdem_v2x_neopat,0.005374359866848945,failed
vdem_v2x_gender,0.00524305720566867,failed
vdem_v2x_corr,0.005206125771715466,failed
vdem_v2x_egaldem,0.005019556456485095,failed
vdem_v2x_clphy,0.004845879060719156,failed
vdem_v2x_liberal,0.0046990501520671295,failed
vdem_v2x_partipdem,0.004689718838238836,failed
vdem_v2x_freexp_altinf,0.004647562077465712,failed
vdem_v2x_ex_party,0.004547926919640558,failed
vdem_v2x_elecoff,0.004527188802538972,failed
vdem_v2x_jucon,0.004316763257126392,failed
vdem_v2x_diagacc,0.004245913986459647,failed
vdem_v2x_accountability,0.00423125691252641,failed
vdem_v2x_execorr,0.00397159281442137,failed
vdem_v2x_gencs,0.0038097825217771977,failed
vdem_v2x_gencl,0.003218296053841444,failed
vdem_v2x_divparctrl,0.0029980748920700176,failed
years_since_last_pt_attempt,0.0027492155099899146,failed
years_since_last_pt_failed,0.002608712067433929,failed
reign_irregular,0.001946786571221689,failed
pt_attempt_num5yrs,0.0018399142429977964,failed
pt_attempt_num10yrs,0.0018101901821162877,failed
ln_state_age,0.0015523633368451644,failed
years_since_last_pt_coup,0.00143971865547883,failed
reign_loss,0.0013812944635488227,failed
pt_attempt_total,0.0013030573692562235,failed
reign_gov_military,0.0012683734671622446,failed
pt_coup_total,0.001249441777052814,failed
epr_inpower_groups_pop,0.001162086484702495,failed
pt_failed_total,0.0011600198954112978,failed
pt_coup_num10yrs,0.001030128456053476,failed
reign_tenure_months,0.0010176368530793937,failed
vdem_v2x_horacc,9.983896447317941e-4,failed
pt_coup_num5yrs,8.855254985039228e-4,failed
reign_lastelection,8.503554598371805e-4,failed
epr_elf,7.952838624917069e-4,failed
pt_attempt,7.230434169536885e-4,failed
vdem_v2x_ex_direlect,6.876368852915656e-4,failed
pt_failed_num10yrs,6.811381437427546e-4,failed
vdem_v2x_ex_military,6.778439198518986e-4,failed
epr_excluded_group_pop,6.687059131903285e-4,failed
pt_attempt_num,6.469488045605252e-4,failed
vdem_v2x_legabort,6.231027087916498e-4,failed
pt_failed_num5yrs,5.757941444225868e-4,failed
reign_age,5.513334908127157e-4,failed
epr_groups,5.271542015845624e-4,failed
reign_gov_parl,5.137082531042113e-4,failed
epr_excluded_groups_count,4.935341191452692e-4,failed
vdem_v2x_suffr,3.5015124045204954e-4,failed
reign_prev_conflict,3.3126737362066294e-4,failed
reign_gov_party,3.268626192407187e-4,failed
epr_inpower_groups_count,2.524670371722227e-4,failed
reign_militarycareer,2.3881446872230948e-4,failed
reign_gov_pres,2.2080688612353928e-4,failed
vdem_v2x_ex_confidence,2.1259046548965436e-4,failed
pt_coup,1.9981524211060066e-4,failed
reign_gov_personal,1.5612197678857557e-4,failed
pt_coup_num,1.5409276150668317e-4,failed
reign_elected,1.3225525195603914e-4,failed
vdem_v2x_frassoc_thick,1.2023568701985115e-4,failed
vdem_v2x_rule,8.63358639467029e-5,failed
pt_failed,7.271893723040494e-5,failed
pt_failed_num,6.441283480591356e-5,failed
vdem_v2x_feduni,5.7663292920531946e-5,failed
reign_defeat_recent,5.580463753570886e-5,failed
reign_male,5.094082985509593e-5,failed
reign_leg_ant,4.3072694858149125e-5,failed
reign_direct_recent,2.7382455932816176e-5,failed
reign_change_recent,2.7200653844075e-5,failed
reign_leg_recent,2.6889307642996574e-5,failed
reign_victory_recent,2.114445188446151e-5,failed
reign_election_recent,1.84820191393451e-5,failed
reign_exec_ant,1.8370832801451707e-5,failed
reign_nochange_recent,1.8241158849051057e-5,failed
reign_anticipation,1.629589249106005e-5,failed
reign_lead_recent,1.2119380326997576e-5,failed
reign_ref_recent,9.449502083187955e-6,failed
reign_irreg_lead_ant,6.41552453912449e-6,failed
reign_election_now,6.395914533202407e-6,failed
vdem_v2x_freexp,4.0887631247638266e-6,failed
vdem_v2x_hosinter,2.1440792798292565e-6,failed
reign_gov_provisional,2.0428835100963623e-6,failed
epr_regaut_group_pop,0,failed
epr_regaut_groups_count,0,failed
reign_ref_ant,-5.7141921032476885e-8,failed
reign_indirect_recent,-1.7223064410450333e-7,failed
reign_exec_recent,-9.91378068388279e-7,failed
vdem_v2x_hosabort,-8.694716778826299e-6,failed
reign_delayed,-9.973052490178668e-6,failed
