gwcode,year,infmort,infmort_yearadj,infmort_imputed
510,1974,121.4,0.7191807764519658,FALSE
510,1975,119.2,0.6966095258047845,FALSE
510,1976,116.8,0.7041870769183998,FALSE
510,1977,114.3,0.7059627698991666,FALSE
510,1978,112,0.7243248164197087,FALSE
510,1979,109.8,0.740097957486684,FALSE
510,1980,108.1,0.7665556244419213,FALSE
510,1981,107,0.8093000524633687,FALSE
510,1982,106.6,0.8603551558373991,FALSE
510,1983,106.6,0.9182743296711662,FALSE
510,1984,106.7,0.9821263867173724,FALSE
510,1985,106.8,1.0359922788972262,FALSE
510,1986,106.6,1.0798485733634366,FALSE
510,1987,105.8,1.1062285309984716,FALSE
510,1988,104.7,1.1228848260070408,FALSE
510,1989,103.4,1.132587943660932,FALSE
510,1990,101.9,1.1400413349140013,FALSE
510,1991,100.5,1.2062719475010832,FALSE
510,1992,99.4,1.2323546075527119,FALSE
510,1993,98.2,1.2434809860330966,FALSE
510,1994,97.2,1.2523598057053615,FALSE
510,1995,95.9,1.2496959996880388,FALSE
510,1996,94.5,1.260008663123901,FALSE
510,1997,92.7,1.2619174406993434,FALSE
510,1998,90.3,1.246209767390486,FALSE
510,1999,87.3,1.2179461378904324,FALSE
510,2000,83.6,1.1795107254415365,FALSE
510,2001,79.4,1.1264286261322516,FALSE
510,2002,74.9,1.05824505080484,FALSE
510,2003,70.4,0.998063608051841,FALSE
510,2004,66.2,0.9417068971669844,FALSE
510,2005,62.5,0.8961996750098454,FALSE
510,2006,59.2,0.8713130138871966,FALSE
510,2007,56.6,0.8478520133823934,FALSE
510,2008,53.9,0.8198491842278715,FALSE
510,2009,51.5,0.7957255203426435,FALSE
510,2010,49.7,0.7967612418080353,FALSE
510,2011,47.5,0.7500538009402928,FALSE
510,2012,46,0.7679592850676414,FALSE
510,2013,45,0.788656986938221,FALSE
510,2014,43.9,0.8011095057597565,FALSE
510,2015,43,0.8192026366720878,FALSE
510,2016,41.9,0.8263361469737668,FALSE
510,2017,40.6,0.82006149244127,FALSE
510,2018,38.8,0.7869650423512445,FALSE
510,2019,37.6,0.7815377460201234,FALSE
516,1962,151.5128848621658,0.6632552868420784,TRUE
516,1963,148.65195897179277,0.6697762791904847,TRUE
516,1964,145.81433068440418,0.66002896006797,TRUE
516,1965,143,0.6553703766478082,FALSE
516,1966,143.9,0.7331421453896635,FALSE
516,1967,145.1,0.8035787134045117,FALSE
516,1968,146,0.8600757044356393,FALSE
516,1969,146.8,0.9237393664320966,FALSE
516,1970,147.3,0.9913141218640693,FALSE
516,1971,147.6,1.0609131681552906,FALSE
516,1972,147.9,1.1203852287968656,FALSE
516,1973,148.1,1.187946459904815,FALSE
516,1974,148.3,1.221794910474774,FALSE
516,1975,148.6,1.253112133716752,FALSE
516,1976,148.5,1.3135974741204939,FALSE
516,1977,147.8,1.3610459989507784,FALSE
516,1978,146.1,1.404408883522133,FALSE
516,1979,142.9,1.41264359396793,FALSE
516,1980,138.4,1.3944260121036383,FALSE
516,1981,132.9,1.3578898669871313,FALSE
516,1982,127.1,1.3024107875624156,FALSE
516,1983,121,1.2340272963745518,FALSE
516,1984,115.2,1.1711026826896125,FALSE
516,1985,110.2,1.1125914926649292,FALSE
516,1986,106.3,1.0730088237760966,FALSE
516,1987,104,1.064759554616569,FALSE
516,1988,102.9,1.0810159295470185,FALSE
516,1989,103.1,1.1255483120151406,FALSE
516,1990,104,1.1899209330031826,FALSE
516,1991,105.2,1.3221269617847835,FALSE
516,1992,106.4,1.406608004779061,FALSE
516,1993,107.3,1.4724151483134589,FALSE
516,1994,107.8,1.521668425228627,FALSE
516,1995,107.7,1.5517054898966,FALSE
516,1996,107,1.5850369970405158,FALSE
516,1997,105.7,1.6055988968334165,FALSE
516,1998,103.7,1.606088304244034,FALSE
516,1999,101.4,1.6036379313882945,FALSE
516,2000,98.6,1.5995937363601134,FALSE
516,2001,95.7,1.5943385804124681,FALSE
516,2002,92.6,1.5804490248610235,FALSE
516,2003,89.4,1.576674435909099,FALSE
516,2004,86.1,1.567604746806534,FALSE
516,2005,82.5,1.5466395732598501,FALSE
516,2006,78.5,1.5206795508100241,FALSE
516,2007,74.4,1.466470188395271,FALSE
516,2008,70.3,1.4080653249517445,FALSE
516,2009,66.3,1.3425048985708552,FALSE
516,2010,62.7,1.2937507072257177,FALSE
516,2011,59.2,1.2051721828826296,FALSE
516,2012,56.1,1.1781369639814674,FALSE
516,2013,53.2,1.132318114774363,FALSE
516,2014,50.4,1.0816425274422572,FALSE
516,2015,47.9,1.0367993262462334,FALSE
516,2016,45.8,1.0044604276009874,FALSE
516,2017,44,0.9796037858374316,FALSE
516,2018,42.4,0.9602631925444259,FALSE
516,2019,41,0.9496736965007335,FALSE
517,1962,127.8,0.30305532751474656,FALSE
517,1963,126,0.31834550496010083,FALSE
517,1964,124.8,0.3311958924208795,FALSE
517,1965,124.4,0.3602606428059149,FALSE
517,1966,124.5,0.41648998931601433,FALSE
517,1967,125,0.46935078348552944,FALSE
517,1968,126,0.5205742721469288,FALSE
517,1969,127.4,0.588750839502534,FALSE
517,1970,129.1,0.6712493545961978,FALSE
517,1971,130.9,0.7600641564262335,FALSE
517,1972,132.9,0.8459326828416823,FALSE
517,1973,135.5,0.9537479373452964,FALSE
517,1974,138.8,1.0442917776414402,FALSE
517,1975,142.5,1.1376473069050852,FALSE
517,1976,146.1,1.2674591475184425,FALSE
517,1977,148.5,1.3747343052294687,FALSE
517,1978,148.5,1.4522740378050014,FALSE
517,1979,144.9,1.4532807925468574,FALSE
517,1980,138.1,1.3882094736119377,FALSE
517,1981,129.3,1.2816380008757204,FALSE
517,1982,120.2,1.153621331030581,FALSE
517,1983,112.1,1.038874421120376,FALSE
517,1984,106,0.9665636329314232,FALSE
517,1985,101.6,0.918840540193681,FALSE
517,1986,98.2,0.8883355849179143,FALSE
517,1987,95.6,0.8712376648343553,FALSE
517,1988,93.5,0.8623672480335683,FALSE
517,1989,92.4,0.8744681166485854,FALSE
517,1990,92.2,0.9096450961211149,FALSE
517,1991,93.7,1.0386519268353045,FALSE
517,1992,97,1.1726105856465348,FALSE
517,1993,101.6,1.3290168268851,FALSE
517,1994,108.2,1.5318310146445995,FALSE
517,1995,125.8,2.0149573350470202,FALSE
517,1996,117.1,1.8476598908451405,FALSE
517,1997,111.2,1.7510025898132164,FALSE
517,1998,115.2,1.9149392873646163,FALSE
517,1999,117,2.0303607667476307,FALSE
517,2000,110.5,1.9328595916888511,FALSE
517,2001,108.3,1.9560358456842915,FALSE
517,2002,101.2,1.8341752495436892,FALSE
517,2003,93,1.6863059611873161,FALSE
517,2004,84.7,1.5235717322590283,FALSE
517,2005,76.2,1.3417510053110986,FALSE
517,2006,68.6,1.1875847987097135,FALSE
517,2007,62.1,1.0389980786953612,FALSE
517,2008,56.5,0.9131029626353148,FALSE
517,2009,51.7,0.8031144308592412,FALSE
517,2010,47.8,0.7241243199392968,FALSE
517,2011,43.9,0.6100173757272661,FALSE
517,2012,39.8,0.5161670465264809,FALSE
517,2013,37,0.45337783782978974,FALSE
517,2014,34.5,0.3954155974804478,FALSE
517,2015,32.5,0.3529240161560611,FALSE
517,2016,30.8,0.3193670405732159,FALSE
517,2017,29.3,0.289817987918733,FALSE
517,2018,28.2,0.2766982667824332,FALSE
517,2019,27,0.25734919452175015,FALSE
520,1960,142.36073767312746,0.47055822388098106,TRUE
520,1961,141.28257656638215,0.45646348565532874,TRUE
520,1962,140.2085141465222,0.4915413053647521,TRUE
520,1963,139.13855041354776,0.5221817802176923,TRUE
520,1964,138.0726853674587,0.5388873916574082,TRUE
520,1965,137.0109190082551,0.5603469305493467,TRUE
520,1966,135.9532513359369,0.6034331197066236,TRUE
520,1967,134.89968235050418,0.6339652282051562,TRUE
520,1968,133.85021205195687,0.6538321839174015,TRUE
520,1969,132.80484044029504,0.6820786507078825,TRUE
520,1970,131.76356751551862,0.7180907895938203,TRUE
520,1971,130.72639327762766,0.7569366467941832,TRUE
520,1972,129.69331772662213,0.787260541908488,TRUE
520,1973,128.664340862502,0.8266922809387484,TRUE
520,1974,127.63946268526733,0.8357622684342432,TRUE
520,1975,126.61868319491812,0.8370352586362342,TRUE
520,1976,125.6020023914543,0.8733994357054645,TRUE
520,1977,124.58942027487598,0.907169535831551,TRUE
520,1978,123.58093684518303,0.9552928701008934,TRUE
520,1979,122.57655210237554,0.9996995999558068,TRUE
520,1980,121.57626604645351,1.0458080464491555,TRUE
520,1981,120.58007867741694,1.0969407027669307,TRUE
520,1982,119.58798999526574,1.1404241374079063,TRUE
520,1983,118.6,1.1814018019239874,FALSE
520,1984,117.1,1.21334444296576,FALSE
520,1985,115.6,1.2342490674724567,FALSE
520,1986,114.3,1.2554021461051659,FALSE
520,1987,113.3,1.2790159325897337,FALSE
520,1988,112.3,1.2996646110604684,FALSE
520,1989,111.2,1.315618366451505,FALSE
520,1990,109.7,1.3253084135309614,FALSE
520,1991,107.9,1.3886819699903132,FALSE
520,1992,106.2,1.4016293362868797,FALSE
520,1993,105,1.4145526677371036,FALSE
520,1994,104.4,1.4352864151928628,FALSE
520,1995,104.2,1.4621264038177895,FALSE
520,1996,104.2,1.5122306502431941,FALSE
520,1997,104.2,1.5659433442025619,FALSE
520,1998,104.2,1.6195166078579724,FALSE
520,1999,104.2,1.6802292095297138,FALSE
520,2000,104.2,1.7564247271030489,FALSE
520,2001,104.2,1.8383407038101267,FALSE
520,2002,104.2,1.9226843976888053,FALSE
520,2003,104.2,2.027381817608437,FALSE
520,2004,104.2,2.136888720599291,FALSE
520,2005,104.2,2.252366862861105,FALSE
520,2006,104.2,2.385380068888608,FALSE
520,2007,104,2.495183558079606,FALSE
520,2008,102.9,2.5773242388296875,FALSE
520,2009,101,2.6244808732005143,FALSE
520,2010,98.8,2.6738522227317434,FALSE
520,2011,96.1,2.6405455413161527,FALSE
520,2012,93.4,2.6929515603661907,FALSE
520,2013,90.7,2.703939126220134,FALSE
520,2014,88,2.704418160559492,FALSE
520,2015,85.6,2.71096161133711,FALSE
520,2016,83.1,2.708059316676713,FALSE
520,2017,81,2.71579933161919,FALSE
520,2018,78.8,2.712500044497703,FALSE
520,2019,76.6,2.7101560015330053,FALSE
522,1977,129.8,1.0090609803558828,FALSE
522,1978,126.5,1.013510123545373,FALSE
522,1979,123.3,1.014399047894443,FALSE
522,1980,120,1.0131449846126945,FALSE
522,1981,116.9,1.018992684269749,FALSE
522,1982,114.1,1.0220828259806978,FALSE
522,1983,111.1,1.0169471317659742,FALSE
522,1984,108.2,1.0154751448301207,FALSE
522,1985,105.4,1.004451426169349,FALSE
522,1986,102.8,0.993211745257129,FALSE
522,1987,100.2,0.9772139378103295,FALSE
522,1988,97.8,0.9623873895769549,FALSE
522,1989,95.7,0.9519040647522893,FALSE
522,1990,93.7,0.9452733804705302,FALSE
522,1991,91.9,0.9942819213649513,FALSE
522,1992,90.4,1.0083145254045485,FALSE
522,1993,89.1,1.0145468237527342,FALSE
522,1994,88,1.0186202491379988,FALSE
522,1995,87,1.0219091808019203,FALSE
522,1996,86.1,1.0415896227319357,FALSE
522,1997,85.1,1.0609959740363466,FALSE
522,1998,84.1,1.0796988025776502,FALSE
522,1999,82.9,1.0975884150967734,FALSE
522,2000,81.6,1.1234996573190594,FALSE
522,2001,80.1,1.1465229186473525,FALSE
522,2002,78.5,1.164456028578979,FALSE
522,2003,76.8,1.1929640974353382,FALSE
522,2004,75,1.218485845751308,FALSE
522,2005,73.2,1.244185020573598,FALSE
522,2006,71.4,1.2817934154653572,FALSE
522,2007,69.6,1.2996518041221352,FALSE
522,2008,67.7,1.3148115465443013,FALSE
522,2009,65.9,1.3277270775376606,FALSE
522,2010,64,1.343449653767486,FALSE
522,2011,62.4,1.3296490052942087,FALSE
522,2012,60.7,1.3649505603184573,FALSE
522,2013,59,1.3753954978779757,FALSE
522,2014,57.4,1.383755012331104,FALSE
522,2015,55.8,1.3876184788249581,FALSE
522,2016,54.2,1.3881127243365396,FALSE
522,2017,52.6,1.3831519397218404,FALSE
522,2018,51.2,1.383880893016647,FALSE
522,2019,49.8,1.384849097744666,FALSE
530,1960,168.03556945302265,0.8424373639740521,TRUE
530,1961,164.59737251360832,0.7986525404285802,TRUE
530,1962,161.18926172290253,0.8102399566506157,TRUE
530,1963,157.8112370809051,0.8118766688868024,TRUE
530,1964,154.46329858761618,0.7953683477604437,TRUE
530,1965,151.1454462430357,0.7846069612072554,TRUE
530,1966,147.8576800471636,0.7977404917805919,TRUE
530,1967,144.6,0.7952645857945868,FALSE
530,1968,144.4,0.8329155898525425,FALSE
530,1969,144.2,0.8788439968435982,FALSE
530,1970,144.1,0.9350389979488389,FALSE
530,1971,144,0.9960594889801645,FALSE
530,1972,144,1.0490275668485178,FALSE
530,1973,143.9,1.109880285718309,FALSE
530,1974,143.8,1.1377144791326685,FALSE
530,1975,143.7,1.1603616990647572,FALSE
530,1976,143.6,1.2193983906413057,FALSE
530,1977,143.5,1.2769606889531087,FALSE
530,1978,143.4,1.350560584953906,FALSE
530,1979,143,1.4146754538968764,FALSE
530,1980,142.4,1.4773131919929736,FALSE
530,1981,141.4,1.5379289953057405,FALSE
530,1982,139.9,1.5784260112736457,FALSE
530,1983,138.1,1.608983944334822,FALSE
530,1984,135.9,1.631315544645538,FALSE
530,1985,133.5,1.637521398778891,FALSE
530,1986,131.1,1.638428122996211,FALSE
530,1987,128.9,1.638413727899559,FALSE
530,1988,126.7,1.6346157827406471,FALSE
530,1989,124.6,1.6300552466301816,FALSE
530,1990,122.4,1.6269612210226787,FALSE
530,1991,120.1,1.6894120070671514,FALSE
530,1992,117.5,1.6829241060951292,FALSE
530,1993,114.6,1.6560656301427603,FALSE
530,1994,111.4,1.6131317299723777,FALSE
530,1995,107.9,1.5568242948153894,FALSE
530,1996,104.3,1.514830876914527,FALSE
530,1997,100.9,1.4787011284146818,FALSE
530,1998,97.5,1.4395773394311984,FALSE
530,1999,94.2,1.406688930453216,FALSE
530,2000,91,1.3867516774947013,FALSE
530,2001,87.8,1.3675601363134673,FALSE
530,2002,84.5,1.3414743248692107,FALSE
530,2003,81,1.3208675435932584,FALSE
530,2004,77.5,1.2971162288718543,FALSE
530,2005,73.8,1.263698217521098,FALSE
530,2006,70.3,1.2447828874542113,FALSE
530,2007,66.8,1.2023410799628063,FALSE
530,2008,63.5,1.1641708275784313,FALSE
530,2009,60.4,1.1245320383312303,FALSE
530,2010,57.5,1.0949549210586447,FALSE
530,2011,54.8,1.034016552066708,FALSE
530,2012,52.3,1.0238126887465624,FALSE
530,2013,50,0.9982064551309905,FALSE
530,2014,47.8,0.9694293187692569,FALSE
530,2015,45.7,0.939102853376209,FALSE
530,2016,43.8,0.9131146426639511,FALSE
530,2017,42.1,0.8904477983513414,FALSE
530,2018,40.6,0.8736141174478355,FALSE
530,2019,39.1,0.8557153712321572,FALSE
531,1993,85.8,0.9315267429257896,FALSE
531,1994,81.4,0.8509375237744562,FALSE
531,1995,77,0.7659689348624615,FALSE
531,1996,72.7,0.6931592487733248,FALSE
531,1997,68.6,0.6247848950969462,FALSE
531,1998,65,0.5667376045252053,FALSE
531,1999,61.8,0.5204184262453628,FALSE
531,2000,58.9,0.48777403412894665,FALSE
531,2001,56.3,0.4633169731339075,FALSE
531,2002,53.9,0.43868101378902863,FALSE
531,2003,51.7,0.42858874063443436,FALSE
531,2004,49.8,0.4258915838961994,FALSE
531,2005,47.9,0.4213785492873421,FALSE
531,2006,46.2,0.4339158646645666,FALSE
531,2007,44.7,0.434281435705245,FALSE
531,2008,43.2,0.4360740192433933,FALSE
531,2009,41.8,0.4373633602876668,FALSE
531,2010,40.5,0.44504562012782906,FALSE
