gwcode,year,for_year,outcome,observed,p
600,2014,2015,coup,0,0.004800896325896325
615,2014,2015,coup,0,0.017575441225441225
616,2014,2015,coup,0,0.016286829836829834
620,2014,2015,coup,0,0.059830455655455694
625,2014,2015,coup,0,0.07345646575646575
626,2014,2015,coup,0,0.03811489066489066
630,2014,2015,coup,0,0.013730888555888558
640,2014,2015,coup,0,0.036990614940614945
645,2014,2015,coup,0,0.02034568487068486
651,2014,2015,coup,0,0.14671299811299818
652,2014,2015,coup,0,0.07147242479742481
660,2014,2015,coup,0,0.006071700521700521
663,2014,2015,coup,0,0.0030806277056277054
666,2014,2015,coup,0,0.005045512820512821
670,2014,2015,coup,0,0.010855494505494506
678,2014,2015,coup,0,0.013586566211566209
690,2014,2015,coup,0,0.002963131313131313
692,2014,2015,coup,0,0.03161848151848152
694,2014,2015,coup,0,0.008003724053724053
696,2014,2015,coup,0,0.007641297591297592
698,2014,2015,coup,0,0.01286751581751582
700,2014,2015,coup,0,0.01372795537795538
701,2014,2015,coup,0,0.002
702,2014,2015,coup,0,0.0030391414141414143
703,2014,2015,coup,0,0.0026307692307692304
704,2014,2015,coup,0,0.005744444444444444
705,2014,2015,coup,0,0.0010547008547008548
710,2014,2015,coup,0,0.011038752913752913
712,2014,2015,coup,0,0
731,2014,2015,coup,0,0.007321067821067821
732,2014,2015,coup,0,0.008290151515151516
740,2014,2015,coup,0,2.7499999999999996e-4
750,2014,2015,coup,0,0.0031380952380952384
760,2014,2015,coup,0,0.008986363636363633
770,2014,2015,coup,0,0.02739675047175047
771,2014,2015,coup,0,0.019532675657675656
775,2014,2015,coup,0,0.027738752913752905
780,2014,2015,coup,0,0.005686446886446886
781,2014,2015,coup,0,0.03388278388278388
790,2014,2015,coup,0,0.012095659895659893
800,2014,2015,coup,0,0.21337716172716184
811,2014,2015,coup,0,0.005933882783882785
812,2014,2015,coup,0,0.002407875457875458
816,2014,2015,coup,0,0.0025
820,2014,2015,coup,0,4.095238095238095e-4
830,2014,2015,coup,0,6.380952380952381e-4
840,2014,2015,coup,0,0.0022416666666666665
850,2014,2015,coup,0,0.002728113553113553
860,2014,2015,coup,0,0.008112481962481962
900,2014,2015,coup,0,1.5384615384615385e-4
910,2014,2015,coup,0,0.005489560439560439
920,2014,2015,coup,0,0
940,2014,2015,coup,0,0.00901157731157731
950,2014,2015,coup,0,0.057458866133866145
2,2015,2016,coup,0,0
20,2015,2016,coup,0,0.001
40,2015,2016,coup,0,0.0034166666666666664
41,2015,2016,coup,0,0.01916666666666667
42,2015,2016,coup,0,0.016666666666666666
51,2015,2016,coup,0,0.003916666666666666
52,2015,2016,coup,0,0
53,2015,2016,coup,0,0
70,2015,2016,coup,0,0.012500000000000002
90,2015,2016,coup,0,0.01725
91,2015,2016,coup,0,0.04816666666666666
92,2015,2016,coup,0,0.035583333333333335
93,2015,2016,coup,0,0.005166666666666666
94,2015,2016,coup,0,0
95,2015,2016,coup,0,0.001
100,2015,2016,coup,0,0.002
101,2015,2016,coup,0,0.04741666666666667
110,2015,2016,coup,0,0.0025
115,2015,2016,coup,0,0.013583333333333334
130,2015,2016,coup,0,0.009083333333333334
135,2015,2016,coup,0,0.0016666666666666666
140,2015,2016,coup,0,0.0015
145,2015,2016,coup,0,0.011666666666666665
150,2015,2016,coup,0,0.01575
155,2015,2016,coup,0,0.0016666666666666666
160,2015,2016,coup,0,0.011666666666666665
165,2015,2016,coup,0,0
200,2015,2016,coup,0,0
205,2015,2016,coup,0,0
210,2015,2016,coup,0,0
211,2015,2016,coup,0,0
212,2015,2016,coup,0,0.0025833333333333333
220,2015,2016,coup,0,0
225,2015,2016,coup,0,0
230,2015,2016,coup,0,0
235,2015,2016,coup,0,0
260,2015,2016,coup,0,0
290,2015,2016,coup,0,0
305,2015,2016,coup,0,0
310,2015,2016,coup,0,0.003
316,2015,2016,coup,0,0
317,2015,2016,coup,0,0.001
325,2015,2016,coup,0,0
338,2015,2016,coup,0,0.005
339,2015,2016,coup,0,0.0036666666666666666
340,2015,2016,coup,0,0.019
341,2015,2016,coup,0,0.002583333333333333
343,2015,2016,coup,0,6.666666666666666e-4
344,2015,2016,coup,0,0
346,2015,2016,coup,0,0.0055
349,2015,2016,coup,0,0
350,2015,2016,coup,0,0
352,2015,2016,coup,0,0.0014166666666666666
355,2015,2016,coup,0,0.0075
359,2015,2016,coup,0,0.006333333333333333
360,2015,2016,coup,0,0
365,2015,2016,coup,0,0.007499999999999999
366,2015,2016,coup,0,0
367,2015,2016,coup,0,0
368,2015,2016,coup,0,0
369,2015,2016,coup,0,0.03
370,2015,2016,coup,0,0.0016666666666666666
371,2015,2016,coup,0,0.006833333333333333
372,2015,2016,coup,0,0
373,2015,2016,coup,0,0.012333333333333332
375,2015,2016,coup,0,0
380,2015,2016,coup,0,0
385,2015,2016,coup,0,0
390,2015,2016,coup,0,0
395,2015,2016,coup,0,0
402,2015,2016,coup,0,0
404,2015,2016,coup,0,0.05791666666666668
411,2015,2016,coup,0,0.014583333333333332
420,2015,2016,coup,0,0.0015
432,2015,2016,coup,0,0.02283333333333333
433,2015,2016,coup,0,0.011
434,2015,2016,coup,0,0.009166666666666667
435,2015,2016,coup,0,0.03641666666666666
436,2015,2016,coup,0,0.014166666666666666
437,2015,2016,coup,0,0.018083333333333337
438,2015,2016,coup,0,0.03791666666666667
439,2015,2016,coup,0,0.08858333333333335
450,2015,2016,coup,0,0.007083333333333334
451,2015,2016,coup,0,0.006583333333333333
452,2015,2016,coup,0,0.0045
461,2015,2016,coup,0,0.028416666666666663
471,2015,2016,coup,0,0.019
475,2015,2016,coup,0,0.022333333333333334
481,2015,2016,coup,0,0.015666666666666666
482,2015,2016,coup,0,0.07441666666666666
483,2015,2016,coup,0,0.0405
484,2015,2016,coup,0,0.010333333333333332
