task_id,year,learner_id,resampling_id,iters,classif.auc,num.trees,mtry,min.node.size
coup,2013,classif.ranger,repeated_cv,16,0.8118457926535798,1000,14,32
coup,2013,classif.ranger,repeated_cv,16,0.814736405955158,1000,19,79
coup,2013,classif.ranger,repeated_cv,16,0.8125019988876679,1000,13,33
coup,2013,classif.ranger,repeated_cv,16,0.8169950845400196,1000,12,270
coup,2013,classif.ranger,repeated_cv,16,0.8144330430663101,1000,23,4
coup,2013,classif.ranger,repeated_cv,16,0.8170562575304624,1000,17,143
coup,2013,classif.ranger,repeated_cv,16,0.8177042225540442,1000,18,280
coup,2013,classif.ranger,repeated_cv,16,0.8186295009060813,1000,23,295
coup,2013,classif.ranger,repeated_cv,16,0.8113007409410817,1000,8,23
coup,2013,classif.ranger,repeated_cv,16,0.8153706435626312,1000,9,275
coup,2013,classif.ranger,repeated_cv,16,0.8199836400700067,1000,23,286
coup,2013,classif.ranger,repeated_cv,16,0.8155307072689961,1000,24,98
coup,2013,classif.ranger,repeated_cv,16,0.8158196423484584,1000,16,123
coup,2013,classif.ranger,repeated_cv,16,0.8126715385286997,1000,24,4
coup,2013,classif.ranger,repeated_cv,16,0.8146521282058318,1000,30,113
coup,2013,classif.ranger,repeated_cv,16,0.8163840111407693,1000,20,150
coup,2013,classif.ranger,repeated_cv,16,0.817095466596846,1000,21,135
coup,2013,classif.ranger,repeated_cv,16,0.8124463867706948,1000,30,61
coup,2013,classif.ranger,repeated_cv,16,0.8180335087378121,1000,18,254
coup,2013,classif.ranger,repeated_cv,16,0.8098642414970499,1000,16,4
coup,2014,classif.ranger,repeated_cv,16,0.8161453857160128,1000,13,197
coup,2014,classif.ranger,repeated_cv,16,0.8125108597330092,1000,20,29
coup,2014,classif.ranger,repeated_cv,16,0.8147766469079183,1000,9,215
coup,2014,classif.ranger,repeated_cv,16,0.816069859252352,1000,15,251
coup,2014,classif.ranger,repeated_cv,16,0.8195523889276951,1000,23,266
coup,2014,classif.ranger,repeated_cv,16,0.8178048109137838,1000,29,151
coup,2014,classif.ranger,repeated_cv,16,0.8172857690763268,1000,18,230
coup,2014,classif.ranger,repeated_cv,16,0.8175720532147175,1000,20,152
coup,2014,classif.ranger,repeated_cv,16,0.8164255135727123,1000,17,204
coup,2014,classif.ranger,repeated_cv,16,0.8113755495156598,1000,19,11
coup,2014,classif.ranger,repeated_cv,16,0.8180618699812201,1000,23,184
coup,2014,classif.ranger,repeated_cv,16,0.8155839541593193,1000,24,89
coup,2014,classif.ranger,repeated_cv,16,0.8143865304739856,1000,17,118
coup,2014,classif.ranger,repeated_cv,16,0.8142945360556965,1000,9,136
coup,2014,classif.ranger,repeated_cv,16,0.8139336060911098,1000,30,46
coup,2014,classif.ranger,repeated_cv,16,0.8197139846072151,1000,28,200
coup,2014,classif.ranger,repeated_cv,16,0.8155657290396832,1000,21,168
coup,2014,classif.ranger,repeated_cv,16,0.8185854689028363,1000,29,197
coup,2014,classif.ranger,repeated_cv,16,0.812603499414521,1000,17,51
coup,2014,classif.ranger,repeated_cv,16,0.8206184390368536,1000,29,279
coup,2015,classif.ranger,repeated_cv,16,0.8129760827564556,1000,16,8
coup,2015,classif.ranger,repeated_cv,16,0.8173754051093807,1000,27,145
coup,2015,classif.ranger,repeated_cv,16,0.8123948074017869,1000,10,23
coup,2015,classif.ranger,repeated_cv,16,0.8168738897824646,1000,16,95
coup,2015,classif.ranger,repeated_cv,16,0.8185109245358856,1000,21,95
coup,2015,classif.ranger,repeated_cv,16,0.8209100122336314,1000,20,290
coup,2015,classif.ranger,repeated_cv,16,0.817788208175539,1000,23,142
coup,2015,classif.ranger,repeated_cv,16,0.8188783780750108,1000,10,166
coup,2015,classif.ranger,repeated_cv,16,0.8157694686825583,1000,13,74
coup,2015,classif.ranger,repeated_cv,16,0.8184007329612966,1000,27,106
coup,2015,classif.ranger,repeated_cv,16,0.8134578984615982,1000,30,64
coup,2015,classif.ranger,repeated_cv,16,0.8187618603403348,1000,12,179
coup,2015,classif.ranger,repeated_cv,16,0.817182594856246,1000,17,92
coup,2015,classif.ranger,repeated_cv,16,0.812204929593472,1000,27,2
coup,2015,classif.ranger,repeated_cv,16,0.8196376068110809,1000,9,241
coup,2015,classif.ranger,repeated_cv,16,0.8209758610097735,1000,19,264
coup,2015,classif.ranger,repeated_cv,16,0.8181680365487091,1000,20,150
coup,2015,classif.ranger,repeated_cv,16,0.8200233734293432,1000,28,182
coup,2015,classif.ranger,repeated_cv,16,0.8225416191853884,1000,26,293
coup,2015,classif.ranger,repeated_cv,16,0.8208743899529081,1000,23,292
coup,2016,classif.ranger,repeated_cv,16,0.8230993446110004,1000,12,218
coup,2016,classif.ranger,repeated_cv,16,0.8220091468715897,1000,11,62
coup,2016,classif.ranger,repeated_cv,16,0.8207435525823287,1000,9,107
coup,2016,classif.ranger,repeated_cv,16,0.8258297884275551,1000,26,293
coup,2016,classif.ranger,repeated_cv,16,0.8259936111225716,1000,17,291
coup,2016,classif.ranger,repeated_cv,16,0.8189535464517574,1000,8,24
coup,2016,classif.ranger,repeated_cv,16,0.8223659749695286,1000,26,138
coup,2016,classif.ranger,repeated_cv,16,0.8210940062283613,1000,9,99
coup,2016,classif.ranger,repeated_cv,16,0.8202124746329261,1000,12,37
coup,2016,classif.ranger,repeated_cv,16,0.825589089717066,1000,16,299
coup,2016,classif.ranger,repeated_cv,16,0.8230732085653946,1000,9,241
coup,2016,classif.ranger,repeated_cv,16,0.8195457531599389,1000,17,10
coup,2016,classif.ranger,repeated_cv,16,0.8196124036787066,1000,18,22
coup,2016,classif.ranger,repeated_cv,16,0.8184008925559213,1000,11,39
coup,2016,classif.ranger,repeated_cv,16,0.8199898994359391,1000,9,94
coup,2016,classif.ranger,repeated_cv,16,0.8229691676327606,1000,14,201
coup,2016,classif.ranger,repeated_cv,16,0.8241260578854337,1000,15,124
coup,2016,classif.ranger,repeated_cv,16,0.8196992244889321,1000,11,50
coup,2016,classif.ranger,repeated_cv,16,0.8215783503221126,1000,20,55
coup,2016,classif.ranger,repeated_cv,16,0.8205596160452271,1000,12,72
coup,2017,classif.ranger,repeated_cv,16,0.8226804512299943,1000,19,260
coup,2017,classif.ranger,repeated_cv,16,0.8222946144885496,1000,19,292
coup,2017,classif.ranger,repeated_cv,16,0.8225163641287124,1000,25,249
coup,2017,classif.ranger,repeated_cv,16,0.8176973750634766,1000,17,56
coup,2017,classif.ranger,repeated_cv,16,0.8194294503171526,1000,15,137
coup,2017,classif.ranger,repeated_cv,16,0.8206109513956499,1000,25,187
coup,2017,classif.ranger,repeated_cv,16,0.8223671404680247,1000,24,294
coup,2017,classif.ranger,repeated_cv,16,0.8172243310674273,1000,29,24
coup,2017,classif.ranger,repeated_cv,16,0.8196300966267309,1000,12,65
coup,2017,classif.ranger,repeated_cv,16,0.8218945466533328,1000,16,234
coup,2017,classif.ranger,repeated_cv,16,0.8212001852886202,1000,9,294
coup,2017,classif.ranger,repeated_cv,16,0.8224554155330779,1000,21,300
coup,2017,classif.ranger,repeated_cv,16,0.8161191828488614,1000,8,81
coup,2017,classif.ranger,repeated_cv,16,0.8187337713179338,1000,19,85
coup,2017,classif.ranger,repeated_cv,16,0.8212899426470744,1000,12,188
coup,2017,classif.ranger,repeated_cv,16,0.8234509310313541,1000,27,228
coup,2017,classif.ranger,repeated_cv,16,0.8201856501523237,1000,19,196
coup,2017,classif.ranger,repeated_cv,16,0.8189299379827025,1000,14,78
coup,2017,classif.ranger,repeated_cv,16,0.8215682050240277,1000,27,160
coup,2017,classif.ranger,repeated_cv,16,0.8182479523588215,1000,23,45
