Country,Year,GWcode,Coup,Failed,Attempt
Denmark,2020,390,1.9699346922768109e-4,5.555555555555555e-5,2.525380807016129e-4
Iceland,2020,395,0.0011591647402972587,6.825396825396826e-4,0.0018409132469030876
Cape Verde,2020,402,4.763872617582148e-5,5e-5,9.763634423951268e-5
Guinea-Bissau,2020,404,0.017751982687316717,0.02594677793322126,0.043238153867875787
Equatorial Guinea,2020,411,0.028525405340575814,0.01202391911438048,0.04020633728843629
Gambia,2020,420,0.013534843049765466,0.028263236425186203,0.04141554100585836
Mali,2020,432,0.03274927464987292,0.028431093328793216,0.060249270294645316
Senegal,2020,433,0.023320629144993957,0.013727413230044803,0.0367279104619808
Benin,2020,434,0.07527337894946197,0.06086318226276504,0.13155518382969172
Mauritania,2020,435,0.04472862317903894,0.044881675826305006,0.08760280343966538
Niger,2020,436,0.061584818641454715,0.030625720412422862,0.09032445961651461
Côte d’Ivoire,2020,437,0.02543785846939467,0.012491897192299324,0.037611988548902055
Guinea,2020,438,0.041208129676196276,0.02924502551224518,0.0692480223847492
Burkina Faso,2020,439,0.09895719734783205,0.1645989683752557,0.247267913126328
Liberia,2020,450,0.007750488249166034,0.008875391488307089,0.01655709112003625
Sierra Leone,2020,451,0.013094632369937903,0.019909433631458796,0.03274335928729907
Ghana,2020,452,0.004131694218408118,0.011430836716864446,0.015515302213297928
Togo,2020,461,0.0386243830080361,0.035033521083618686,0.072304755955201
Cameroon,2020,471,0.029715293861185738,0.03512520592451775,0.06379674396972178
Nigeria,2020,475,0.026375845261954613,0.039571259224913814,0.06490337907673141
Gabon,2020,481,0.05006574963167705,0.09087286284369679,0.1363889944759276
Central African Republic,2020,482,0.028309648678421378,0.020451686443781605,0.0481823550640983
Chad,2020,483,0.038665819622353395,0.05431493298172195,0.09088062120260387
Congo - Brazzaville,2020,484,0.037054292688142476,0.0329061267573231,0.06874110619336661
Congo - Kinshasa,2020,490,0.04131157154551836,0.044968397074575575,0.08442225346706032
Uganda,2020,500,0.013749864402971686,0.03070163879023416,0.044029359822891107
Kenya,2020,501,0.0033377072486534503,0.009687491951221927,0.012992865187768512
Tanzania,2020,510,0.0258111170067215,0.019486574315440926,0.044794721072446406
Burundi,2020,516,0.015951549780389346,0.03679886505038611,0.05216341590306239
Rwanda,2020,517,0.00757709481111697,0.011036889247065581,0.018530356501937736
Somalia,2020,520,0.019672748222209907,0.027202418914149974,0.046340020798026724
Djibouti,2020,522,0.007314540954918067,0.010698174864351333,0.01793446358108123
Ethiopia,2020,530,0.013907552171126575,0.028125863429842766,0.041642253687960824
Eritrea,2020,531,0.009261919027860614,0.025159396468497627,0.034188291203477175
Angola,2020,540,0.013620216692922947,0.01421385014418733,0.027640471118105713
