Country,Year,GWcode,Coup,Failed,Attempt
Zimbabwe,2020,552,0.03289458749847936,0.03606456547327729,0.06777282396720129
Malawi,2020,553,0.013534569927787258,0.02457454174856624,0.0377765058226142
South Africa,2020,560,0.004877573651797052,0.003923450077932811,0.008781886813005596
Namibia,2020,565,0.012597262848836369,0.010099814310722507,0.022569847143962266
Lesotho,2020,570,0.024068199969518728,0.02896712302120476,0.05233813648130748
Botswana,2020,571,0.012385239447461498,0.008422449336623767,0.020703374732317068
Swaziland,2020,572,0.09912625131768152,0.05125776066964724,0.14530302232120773
Madagascar,2020,580,0.014026208640659036,0.015246523737674886,0.029058881455344535
Comoros,2020,581,0.02688759978685146,0.0233221015495358,0.04958262600373503
Mauritius,2020,590,0.0034278556538795595,0.0024847095375216356,0.005904047965764753
Morocco,2020,600,0.0068359590244996705,0.007513603479519844,0.014298199818507178
Algeria,2020,615,0.035802747793764814,0.05333996093002871,0.08723299155528644
Tunisia,2020,616,0.002525713552378512,0.002497850803372319,0.005017255500124934
Libya,2020,620,0.03574749843732885,0.021251623855209872,0.056239429901983905
Sudan,2020,625,0.08630897409123155,0.11718250275824948,0.19337757525497362
South Sudan,2020,626,0.027453586665973934,0.03802370905530953,0.06443340852937175
Iran,2020,630,0.011253271288908672,0.00925352932525149,0.020402668138283234
Turkey,2020,640,0.0339955921594806,0.040321523456767545,0.07294636154956295
Iraq,2020,645,0.01177580308254642,0.01704191797940022,0.028617038791672315
Egypt,2020,651,0.03203124917249371,0.05622853782182408,0.08645871668874197
Syria,2020,652,0.026456010934488707,0.04590286785985831,0.07114447202032222
Lebanon,2020,660,0.004532026319259436,0.007539853697270928,0.012037709201130967
Jordan,2020,663,0.004287179074493492,0.006763436962450553,0.01102161997152697
Israel,2020,666,0.0019001915335105405,0.0020266041840010297,0.003922944781399354
Saudi Arabia,2020,670,0.005806565955679649,0.0050275154896596876,0.010804888845055427
Yemen Arab Republic,2020,678,0.018770530413654157,0.025986777829898815,0.044269522639943985
Kuwait,2020,690,0.02821999336979469,0.003946615251748999,0.0320552351653062
Bahrain,2020,692,0.05027886544743341,0.037363635431768995,0.08576389968070154
Qatar,2020,694,0.01797202754740945,0.012882281052936661,0.03062278789038926
United Arab Emirates,2020,696,0.026029055494799464,0.019804005220529584,0.04531758116442459
